SEASON,TEAM,MATCH_DATE,RESULT,LAST_1,LAST_2,LAST_3,LAST_4,LAST_5,FORM_SCORE
2021,Bologna,2021-05-02,Fiorentina,L,D,W,L,L,5
2021,Bologna,2021-05-08,Udinese,D,L,D,W,L,6
2021,Bologna,2021-05-12,Genoa,D,D,L,D,W,3
2021,Bologna,2021-05-17,Hellas Verona,L,D,D,L,D,3
2021,Bologna,2021-05-23,Juventus,D,L,D,D,L,3
2021,Bologna,2020-10-18,Sassuolo,L,W,L,,,3
2021,Bologna,2021-02-12,Benevento,W,L,L,W,L,7
2021,Bologna,2021-04-18,Spezia,L,L,W,W,L,9
2021,Bologna,2020-12-20,Torino,D,L,L,W,W,5
2021,Bologna,2021-04-03,Inter,W,W,L,L,W,6
2021,Bologna,2021-03-20,Crotone,W,L,L,W,D,9
2021,Bologna,2021-03-14,Sampdoria,L,L,W,D,D,7
2021,Bologna,2021-03-07,Napoli,L,W,D,D,W,5
2021,Bologna,2021-02-27,Lazio,D,D,W,L,L,8
2021,Bologna,2021-04-21,Torino,W,L,L,W,W,7
2021,Bologna,2021-02-20,Sassuolo,D,W,L,L,W,5
2021,Bologna,2021-03-03,Cagliari,W,D,D,W,L,8
2021,Cagliari,2020-11-21,Juventus,W,L,W,W,L,9
2021,Cagliari,2021-01-18,Milan,L,L,L,L,D,0
2021,Cagliari,2021-01-10,Fiorentina,L,L,L,D,D,1
2021,Cagliari,2021-01-06,Benevento,L,L,D,D,L,2
2021,Cagliari,2021-01-03,Napoli,L,D,D,L,D,2
2021,Cagliari,2020-12-23,Roma,D,D,L,D,D,3
2021,Cagliari,2020-12-20,Udinese,D,L,D,D,L,4
2021,Cagliari,2020-12-16,Parma,L,D,D,L,W,3
2021,Cagliari,2020-12-06,Hellas Verona,D,L,W,L,W,5
2021,Cagliari,2021-05-22,Genoa,D,D,W,D,W,6
2021,Cagliari,2020-11-29,Spezia,L,W,L,W,W,7
2021,Cagliari,2020-11-07,Sampdoria,L,W,W,L,L,9
2021,Cagliari,2020-10-31,Bologna,W,W,L,L,D,6
2021,Cagliari,2020-10-25,Crotone,W,L,L,D,,7
2021,Cagliari,2020-10-18,Torino,L,L,D,,,4
2021,Cagliari,2020-10-04,Atalanta,L,D,,,,1
2021,Cagliari,2020-09-26,Lazio,D,,,,,1
2021,Cagliari,2020-12-13,Inter,D,D,L,W,L,5
2021,Cagliari,2020-09-20,Sassuolo,,,,,,1
2021,Cagliari,2021-03-14,Juventus,D,W,W,L,L,7
2021,Cagliari,2021-05-12,Fiorentina,W,D,W,W,W,11
2021,Cagliari,2021-05-09,Benevento,D,W,W,W,L,13
2021,Cagliari,2021-05-02,Napoli,W,W,W,L,L,10
2021,Cagliari,2021-04-25,Roma,W,W,L,L,L,9
2021,Cagliari,2021-04-21,Udinese,W,L,L,L,L,6
2021,Cagliari,2021-04-17,Parma,L,L,L,L,D,3
2021,Cagliari,2021-01-31,Sassuolo,L,L,L,L,L,1
2021,Cagliari,2021-04-03,Hellas Verona,L,L,D,W,W,4
2021,Cagliari,2021-03-20,Spezia,L,D,W,W,L,7
2021,Cagliari,2021-05-16,Milan,D,W,D,W,W,9
2021,Cagliari,2021-03-07,Sampdoria,W,W,L,L,L,7
2021,Cagliari,2021-03-03,Bologna,W,L,L,L,D,6
2021,Cagliari,2021-02-28,Crotone,L,L,L,D,L,4
2021,Cagliari,2021-02-19,Torino,L,L,D,L,L,1
2021,Cagliari,2021-02-14,Atalanta,L,D,L,L,L,1
2021,Cagliari,2021-02-07,Lazio,D,L,L,L,L,1
2021,Cagliari,2021-04-11,Inter,L,L,L,D,W,1
2021,Cagliari,2021-01-24,Genoa,L,L,L,L,L,0
2021,Crotone,2021-01-17,Benevento,L,L,L,W,L,6
2021,Crotone,2021-01-10,Hellas Verona,L,L,W,L,D,3
2021,Crotone,2021-01-06,Roma,L,W,L,D,W,4
2021,Crotone,2021-01-03,Inter,W,L,D,W,L,7
2021,Crotone,2020-12-22,Parma,L,D,W,L,L,7
2021,Crotone,2020-12-19,Sampdoria,D,W,L,L,L,4
2021,Crotone,2020-12-15,Udinese,W,L,L,L,D,4
2021,Crotone,2020-12-12,Spezia,L,L,L,D,L,4
2021,Crotone,2021-01-31,Genoa,L,W,L,L,L,3
2021,Crotone,2020-11-29,Bologna,L,D,L,L,D,1
2021,Crotone,2020-11-21,Lazio,D,L,L,D,L,2
2021,Crotone,2020-11-08,Torino,L,L,D,L,L,2
2021,Crotone,2020-10-31,Atalanta,L,D,L,L,L,1
2021,Crotone,2020-10-25,Cagliari,D,L,L,L,,1
2021,Crotone,2020-10-17,Juventus,L,L,L,,,1
2021,Crotone,2020-10-03,Sassuolo,L,L,,,,0
2021,Crotone,2020-09-27,Milan,L,,,,,0
2021,Crotone,2021-04-03,Napoli,L,L,W,L,L,3
2021,Crotone,2021-05-22,Fiorentina,D,W,L,L,W,5
2021,Crotone,2021-05-16,Benevento,W,L,L,W,L,7
2021,Crotone,2021-05-13,Hellas Verona,L,L,W,L,L,6
2021,Crotone,2021-05-09,Roma,L,W,L,L,L,3
2021,Crotone,2021-05-01,Inter,W,L,L,L,L,3
2021,Crotone,2021-04-24,Parma,L,L,L,L,L,3
2021,Crotone,2021-04-21,Sampdoria,L,L,L,L,L,0
2021,Crotone,2021-04-17,Udinese,L,L,L,L,W,0
2021,Crotone,2021-04-10,Spezia,L,L,L,W,L,3
2021,Crotone,2020-09-20,Genoa,,,,,,0
2021,Crotone,2021-03-20,Bologna,L,W,L,L,L,3
2021,Crotone,2021-03-12,Lazio,W,L,L,L,L,3
2021,Crotone,2021-01-23,Fiorentina,W,L,L,L,W,3
2021,Crotone,2021-03-07,Torino,L,L,L,L,L,3
2021,Crotone,2021-03-03,Atalanta,L,L,L,L,L,0
2021,Crotone,2021-02-28,Cagliari,L,L,L,L,L,0
2021,Crotone,2021-02-22,Juventus,L,L,L,L,W,0
2021,Crotone,2021-02-14,Sassuolo,L,L,L,W,L,3
2021,Crotone,2021-02-07,Milan,L,L,W,L,L,3
2021,Crotone,2020-12-06,Napoli,L,L,D,L,L,1
2021,Fiorentina,2021-04-17,Sassuolo,L,D,L,W,D,4
2021,Fiorentina,2020-09-26,Inter,W,,,,,3
2021,Fiorentina,2020-10-02,Sampdoria,L,W,,,,3
2021,Fiorentina,2021-02-19,Spezia,L,L,D,W,L,7
2021,Fiorentina,2021-02-28,Udinese,W,L,L,D,W,4
2021,Fiorentina,2021-03-03,Roma,L,W,L,L,D,3
2021,Fiorentina,2021-03-07,Parma,L,L,W,L,L,4
2021,Fiorentina,2021-03-13,Benevento,D,L,L,W,L,7
2021,Fiorentina,2021-03-21,Milan,W,D,L,L,W,4
2021,Fiorentina,2021-04-11,Atalanta,D,L,W,D,L,5
2021,Fiorentina,2020-09-19,Torino,,,,,,3
2021,Fiorentina,2021-04-25,Juventus,W,L,L,D,L,5
2021,Fiorentina,2021-04-20,Hellas Verona,L,L,D,L,W,4
2021,Fiorentina,2021-04-03,Genoa,L,W,D,L,L,5
2021,Fiorentina,2021-05-22,Crotone,L,D,W,D,D,6
2021,Fiorentina,2021-05-16,Napoli,D,W,D,D,W,6
2021,Fiorentina,2021-05-12,Cagliari,W,D,D,W,L,9
2021,Fiorentina,2021-05-08,Lazio,D,D,W,L,L,8
2021,Fiorentina,2021-05-02,Bologna,D,W,L,L,D,5
2021,Fiorentina,2021-02-14,Sampdoria,L,D,W,L,W,4
2021,Fiorentina,2020-10-18,Spezia,L,L,W,,,4
2021,Fiorentina,2020-10-25,Udinese,D,L,L,W,,7
2021,Fiorentina,2020-11-01,Roma,W,D,L,L,W,4
2021,Fiorentina,2020-11-07,Parma,L,W,D,L,L,5
2021,Fiorentina,2020-11-22,Benevento,D,L,W,D,L,5
2021,Fiorentina,2020-11-29,Milan,L,D,L,W,D,4
2021,Fiorentina,2021-01-29,Torino,W,L,W,L,D,7
2021,Fiorentina,2020-12-13,Atalanta,D,L,L,D,L,2
2021,Fiorentina,2020-12-16,Sassuolo,L,D,L,L,D,2
2021,Fiorentina,2021-02-05,Inter,D,W,L,W,L,7
2021,Fiorentina,2020-12-19,Hellas Verona,D,L,D,L,L,3
2021,Fiorentina,2020-12-22,Juventus,D,D,L,D,L,6
2021,Fiorentina,2021-01-03,Bologna,W,D,D,L,D,6
2021,Fiorentina,2021-01-06,Lazio,D,W,D,D,L,6
2021,Fiorentina,2021-01-10,Cagliari,L,D,W,D,D,8
2021,Fiorentina,2021-01-17,Napoli,W,L,D,W,D,7
2021,Fiorentina,2021-01-23,Crotone,L,W,L,D,W,7
2021,Fiorentina,2020-12-07,Genoa,L,L,D,L,W,2
2021,Genoa,2021-04-18,Milan,L,D,W,D,L,5
2021,Genoa,2021-02-13,Torino,W,W,W,D,W,11
2021,Genoa,2021-02-20,Hellas Verona,D,W,W,W,D,11
2021,Genoa,2021-02-28,Inter,D,D,W,W,W,8
2021,Genoa,2021-03-03,Sampdoria,L,D,D,W,W,6
2021,Genoa,2021-03-07,Roma,D,L,D,D,W,3
2021,Genoa,2021-03-13,Udinese,L,D,L,D,D,3
2021,Genoa,2021-03-19,Parma,D,L,D,L,D,5
2021,Genoa,2020-12-07,Fiorentina,L,L,L,L,D,1
2021,Genoa,2021-04-03,Fiorentina,W,D,L,D,L,6
