SEASON,TEAM,VENUE,TOTAL_SHOTS_TAKE,TOTAL_SHOTS_TARGET,TOTAL_GOALS,ON_TARGET_RATIO,SHOT_CONVERSION_RATE,AVG_POSSESSION,POSSESSION_EFFECTIVENESS
2023,Internazionale,Home,308,94,37,3.28,0.12,56.11,0.03
2023,Internazionale,Away,317,103,34,3.08,0.11,55.37,0.03
2023,Juventus,Away,240,76,18,3.16,0.08,49.79,0.02
2023,Juventus,Home,289,95,38,3.04,0.13,49.32,0.04
2023,Lazio,Home,232,88,32,2.64,0.14,53.79,0.03
2023,Lazio,Away,198,73,28,2.71,0.14,50.42,0.03
2023,Lecce,Home,238,57,18,4.18,0.08,42.79,0.02
2023,Lecce,Away,174,49,15,3.55,0.09,39.79,0.02
2023,Milan,Home,300,92,41,3.26,0.14,56.95,0.04
2023,Milan,Away,246,86,23,2.86,0.09,54.21,0.02
2023,Monza,Home,223,72,25,3.1,0.11,57.58,0.02
2023,Monza,Away,183,67,23,2.73,0.13,52.84,0.02
2023,Napoli,Away,264,98,37,2.69,0.14,60.53,0.03
2023,Napoli,Home,341,114,40,2.99,0.12,63,0.03
2023,Roma,Home,279,91,28,3.07,0.1,49.68,0.03
2023,Roma,Away,209,64,22,3.27,0.11,47.47,0.02
2023,Salernitana,Away,178,53,18,3.36,0.1,44.89,0.02
2023,Salernitana,Home,203,62,30,3.27,0.15,44.95,0.04
2023,Sampdoria,Away,185,69,12,2.68,0.06,44.47,0.01
2023,Sampdoria,Home,191,45,12,4.24,0.06,47.79,0.01
2023,Sassuolo,Home,224,74,24,3.03,0.11,48.47,0.03
2023,Sassuolo,Away,253,87,23,2.91,0.09,49.89,0.02
2023,Spezia,Away,206,56,13,3.68,0.06,46.89,0.01
2023,Spezia,Home,229,72,19,3.18,0.08,48.95,0.02
2023,Torino,Away,222,74,27,3,0.12,50.58,0.03
2023,Torino,Home,222,72,15,3.08,0.07,55.74,0.01
2023,Udinese,Away,220,60,17,3.67,0.08,49.37,0.02
2023,Udinese,Home,283,85,30,3.33,0.11,46.63,0.03
2024,Atalanta,Home,317,119,42,2.66,0.13,52.42,0.04
2024,Atalanta,Away,222,78,30,2.85,0.14,49.63,0.03
2024,Bologna,Away,207,74,21,2.8,0.1,56.37,0.02
2024,Bologna,Home,265,85,33,3.12,0.12,59.89,0.03
2024,Cagliari,Away,190,53,14,3.58,0.07,42.58,0.02
2024,Cagliari,Home,252,74,28,3.41,0.11,41.58,0.04
2024,Empoli,Home,219,65,15,3.37,0.07,43.32,0.02
2024,Empoli,Away,194,47,14,4.13,0.07,44.63,0.02
2024,Fiorentina,Away,219,73,24,3,0.11,58.05,0.02
2024,Fiorentina,Home,296,98,37,3.02,0.13,56.74,0.03
