SEASON,TEAM,POINTS_DIFF
2022,Fiorentina,22
2022,Torino,13
2022,Hellas Verona,8
2023,Salernitana,11
2023,Napoli,11
2023,Lazio,10
2024,Internazionale,22
2024,Genoa,21
2024,Bologna,14
2025,Napoli,29
2025,Parma,16
2025,Udinese,7
